test_name,n_obs,n_features,n_partitions,chunk_size,success,error_msg,data_gen_time,processing_time,n_obs_processed,rss,benchmark_agreement,se_agreement,true_beta_mean,true_beta_max,true_beta_std,estimated_beta_mean,estimated_beta_max,estimated_beta_std,bias_mean,bias_max,bias_std,abs_bias_mean,abs_bias_max,abs_bias_std,rel_bias_mean,rel_bias_max,rel_bias_std
basic_small,1000,2,3,100,True,,0.0050542354583740234,1.6971838474273682,1000,108.56924969125676,True,False,2.0,5.0,2.449489742783178,2.0540896582199832,5.073407173871038,2.4533578894380326,0.05408965821998294,0.07340717387103801,0.021112749825753414,0.05408965821998294,0.07340717387103801,0.021112749825753414,0.030395375246174427,0.06414758113972052,0.023885269848843288
basic_medium,10000,3,5,500,True,,0.007140636444091797,2.7939066886901855,10000,3092.9475110159588,True,False,1.6666666666666667,5.0,2.1984843263788196,1.690739226494215,5.098276992854012,2.2385564093258066,0.02407255982754833,0.0982769928540117,0.043281050912659824,0.029754764989893573,0.0982769928540117,0.03959029508795493,0.009614498764613441,0.01965539857080234,0.005937224675154117
basic_large,50000,4,10,2000,True,,0.045571327209472656,2.649930953979492,50000,13273.185217555054,True,False,1.2333333333333334,5.0,2.1489015281714927,1.202399720546659,4.853367019041818,2.094807323953874,-0.03093361278667426,0.005494044461577419,0.05832887209611783,0.03470367054721128,0.14663298095818167,0.05616761496264365,0.010639875635221159,0.029326596191636335,0.009535309802716252
small_chunks,5000,3,8,50,True,,0.0022585391998291016,2.11018705368042,5000,252.32280618504507,True,False,1.6666666666666667,5.0,2.1984843263788196,1.6679597083191031,5.029016999879298,2.2167106012748152,0.0012930416524366828,0.029016999879297956,0.01979584756667007,0.016015318324424793,0.029016999879297956,0.011707139555208055,0.010516839191453044,0.02628420001265397,0.009423015701143544
large_chunks,5000,3,3,1000,True,,0.006087064743041992,2.1100895404815674,5000,2704.0144528683077,True,False,1.6666666666666667,5.0,2.1984843263788196,1.6513014596584334,4.94839783804687,2.1823038132379957,-0.015365207008233406,0.012694748971997516,0.02413517942988966,0.021712581494232164,0.051602161953129944,0.018632237583692438,0.012452702770436646,0.03176876745996193,0.011593795485048368
many_clusters,10000,3,5,500,True,,0.011552572250366211,1.7546629905700684,10000,3224.8726439929383,True,False,1.6666666666666667,5.0,2.1984843263788196,1.6939070157084133,5.128739230294013,2.247045252162309,0.02724034904174666,0.12873923029401269,0.05895885582105793,0.039072330301325675,0.12873923029401269,0.05188001831600093,0.012977613816926678,0.025747846058802537,0.008566144319703322
few_clusters,10000,3,5,500,True,,0.00455474853515625,1.7221288681030273,10000,3430.039114058822,True,False,1.6666666666666667,5.0,2.1984843263788196,1.637952544610695,4.862845797692254,2.1444887027651727,-0.028714122055971736,0.010380928407273338,0.06263629872295456,0.03986297909790143,0.13715420230774633,0.05620275456413783,0.011783180642976,0.027430840461549266,0.009081122345544715
low_noise,5000,3,5,500,True,,0.0038738250732421875,2.0629818439483643,5000,775.5549304745947,True,False,1.6666666666666667,5.0,2.1984843263788196,1.6461164144300666,4.914572818624059,2.1656814775308595,-0.020550252236599953,0.004650138302369378,0.03769595535136643,0.02508717736169197,0.08542718137594107,0.03484151903782473,0.00815143352628793,0.017085436275188215,0.005657811818542723
high_noise,5000,3,5,500,True,,0.002123117446899414,2.1534969806671143,5000,62311.29960524455,True,False,1.6666666666666667,5.0,2.1984843263788196,1.712033479911389,5.206485210442689,2.286031081922389,0.045366813244722554,0.20648521044268886,0.09412171373625591,0.06541862131470425,0.20648521044268886,0.0814705390059165,0.02469315761942529,0.04129704208853777,0.012357708241421126
correlated_features,5000,4,5,500,True,,0.0025649070739746094,2.0764849185943604,5000,3528.177641663397,True,False,1.2333333333333334,5.0,2.1489015281714927,1.2709037532060168,5.172345148690502,2.195827796701541,0.03757041987268352,0.17234514869050166,0.07504175391313549,0.05889407754805216,0.17234514869050166,0.05978535698257005,0.039377299020185295,0.11578278434791067,0.03907520208773426
missing_data_5pct,5000,3,5,500,True,,0.09893798828125,2.1496469974517822,4750,2933.869931406633,True,False,1.6666666666666667,5.0,2.1984843263788196,1.7143478965824073,5.207463352568765,2.279044955235676,0.04768122991574056,0.20746335256876502,0.092262467003715,0.056050446368641954,0.20746335256876502,0.08743117273470202,0.014138299623269793,0.04149267051375301,0.015838563358566118
missing_data_20pct,5000,3,5,500,True,,0.32763051986694336,1.6938035488128662,4000,2778.3677357717484,True,False,1.6666666666666667,5.0,2.1984843263788196,1.6413727107345737,4.910520894796754,2.178667197036934,-0.025293955932092965,0.029783446346988818,0.044903317590384295,0.04024697628493054,0.08947910520324598,0.0321911950265568,0.018643548745743536,0.041602759230801034,0.014853615571377151
zero_coefficients,5000,5,5,500,True,,0.0025224685668945312,2.359130382537842,5000,3093.298191537222,True,False,0.3333333333333333,2.0,1.0671873729054748,0.31747821265194004,1.9917729999519558,1.0536779927490731,-0.015855120681393286,0.027350877978637143,0.04040769385703042,0.02497208000760567,0.10198432182162409,0.03550439120388885,inf,inf,
large_coefficients,5000,3,5,500,True,,0.004710674285888672,2.1645612716674805,5000,3254.462953984874,True,False,25.0,100.0,63.73774391990981,25.006320310036816,100.03385145604253,63.74488939723546,0.006320310036813659,0.033851456042526706,0.017231439435050202,0.013911485482158703,0.033851456042526706,0.011972443177770287,0.0002063194233983978,0.00033851456042526706,0.00010524087890000677
small_coefficients,5000,3,5,500,True,,0.0023756027221679688,1.7263829708099365,5000,3327.2996479538347,True,False,0.0035,0.01,0.004716990566028302,-0.03227778229923656,-0.0017075090197203214,0.04324141464097758,-0.03577778229923656,-0.005400026493864223,0.0469508165461822,0.03577778229923656,0.1168953459507741,0.0469508165461822,5.471292274150835,11.68953459507741,4.233951607437697
